*** Online Results *** 
Net accuracy: 88919/89822 = 0.989946783639
Facade: 11876/12092 = 0.98213695005
Veg: 8168/8322 = 0.981494832973
Pole: 1173/1429 = 0.820853743877
Wire: 664/818 = 0.81173594132
Ground: 67038/67161 = 0.998168579979

*** Held-out Results *** 
Net accuracy: 3504/36397 = 0.0962716707421
Facade: 2711/4702 = 0.576563164611
Veg: 0/14135 = 0.0
Pole: 793/1086 = 0.730202578269
Wire: 0/2389 = 0.0
Ground: 0/14085 = 0.0
